Fecha,Hora,Magnitud,Latitud,Longitud,Profundidad,Referencia de localizacion,Fecha UTC,Hora UTC,Estatus
28/02/2017,18:57:36,2.4,19.349,-99.1397,4.5,"2 km al ESTE de COYOACAN, CDMX",01/03/2017,00:57:36,revisado
28/02/2017,20:47:14,2.4,19.35,-99.1487,5.9,"1 km al ESTE de COYOACAN, CDMX",01/03/2017,02:47:14,revisado
01/03/2017,03:56:52,2.6,19.338,-99.1462,5.6,"2 km al SURESTE de COYOACAN, CDMX",01/03/2017,09:56:52,revisado
01/03/2017,03:57:21,2.4,19.3417,-99.1345,2.2,"3 km al SURESTE de COYOACAN, CDMX",01/03/2017,09:57:21,revisado
01/03/2017,20:27:12,1.8,19.339,-99.145,5.1,"2 km al SURESTE de COYOACAN, CDMX",02/03/2017,02:27:12,revisado
02/03/2017,07:01:45,1.5,19.339,-99.145,5.1,"2 km al SURESTE de COYOACAN, CDMX",02/03/2017,13:01:45,revisado
15/05/2017,07:58:04,2.6,19.3458,-99.2348,9.3,"3 km al NOROESTE de LA MAGDALENA C, CDMX",15/05/2017,12:58:04,revisado
16/06/2017,06:43:07,2.4,19.3932,-99.1357,5,"3 km al SURESTE de BENITO JUAREZ, CDMX",16/06/2017,11:43:07,revisado
16/07/2017,14:04:59,1.7,19.3908,-99.3862,3,"9 km al NOROESTE de SAN LORENZO ACOPILCO, CDMX",16/07/2017,19:04:59,revisado
09/09/2017,21:54:12,2.7,19.2965,-99.1813,8.5,"5 km al SURESTE de TLALPAN, CDMX",10/09/2017,02:54:12,revisado
20/09/2017,00:14:01,1.7,19.276,-99.2058,4.5,"4 km al SURESTE de TLALPAN, CDMX",20/09/2017,05:14:01,revisado
20/09/2017,00:25:27,1.3,19.337,-99.2043,4.8,"1 km al NORESTE de LA MAGDALENA C, CDMX",20/09/2017,05:25:27,revisado
20/09/2017,03:03:53,1.9,19.3773,-99.2663,2,"2 km al ESTE de CUAJIMALPA, CDMX",20/09/2017,08:03:53,revisado
20/09/2017,04:32:55,1.3,19.266,-99.2108,2.2,"5 km al SURESTE de TLALPAN, CDMX",20/09/2017,09:32:55,revisado
28/09/2017,22:10:20,1.7,19.3487,-99.3265,1.1,"2 km al NORTE de SAN LORENZO ACOPILCO, CDMX",29/09/2017,03:10:20,revisado
16/10/2017,01:04:32,1.7,19.3285,-99.1655,2,"2 km al SUR de COYOACAN, CDMX",16/10/2017,06:04:32,revisado
16/10/2017,01:05:30,1.9,19.3292,-99.1775,2.1,"3 km al SUROESTE de COYOACAN, CDMX",16/10/2017,06:05:30,revisado
17/10/2017,02:00:26,1.8,19.318,-99.1677,3,"4 km al SUR de COYOACAN, CDMX",17/10/2017,07:00:26,revisado
28/10/2017,01:52:35,2.5,19.2183,-99.2253,2.4,"2 km al OESTE de S MIGUEL AJUSCO, CDMX",28/10/2017,06:52:35,revisado
07/11/2017,09:10:33,1.5,19.3895,-99.152,3,"2 km al SURESTE de BENITO JUAREZ, CDMX",07/11/2017,15:10:33,revisado
09/11/2017,04:10:36,1.5,19.3263,-99.1792,7,"3 km al SUROESTE de COYOACAN, CDMX",09/11/2017,10:10:36,revisado
09/11/2017,04:11:33,1.3,19.3463,-99.1518,7,"1 km al SURESTE de COYOACAN, CDMX",09/11/2017,10:11:33,revisado
09/11/2017,04:12:07,2,19.3763,-99.1855,8.5,"3 km al SURESTE de V ALVARO OBREGON, CDMX",09/11/2017,10:12:07,revisado
15/11/2017,05:25:44,1.8,19.272,-99.2733,14.1,"6 km al SUROESTE de TLALPAN, CDMX",15/11/2017,11:25:44,revisado
