AÑO,RAMO_ID,RAMO,DENOMINACION, MONTO ,FACTOR, VALOR_REAL 
2013,16,Medio Ambiente y Recursos Naturales,Prevencion y gestion integral de residuos,"$550,355,521.00 ",1.08598,"$506,782,372.60 "
2013,16,Medio Ambiente y Recursos Naturales,Fomento para la Conservacion y Aprovechamiento Sustentable de la Vida Silvestre,"$162,106,585.00 ",1.08598,"$149,272,164.30 "
2013,16,Medio Ambiente y Recursos Naturales,Programa de Vigilancia Comunitaria en Areas Naturales Protegidas y Zonas de Influencia,"$20,700,000.00 ",1.08598,"$19,061,124.51 "
2013,16,Medio Ambiente y Recursos Naturales,Programa de Recuperación y Repoblación de Especies en Peligro de Extinción,"$109,522,000.00 ",1.08598,"$100,850,844.40 "
2013,16,Medio Ambiente y Recursos Naturales,ProÁrbol.-Desarrollo Forestal,"$2,530,000,000.00 ",1.08598,"$2,329,692,996.00 "
2013,18,Energia,Gestión e implementación en aprovechamiento sustentable de la energía,"$27,745,000.00 ",1.08598,"$25,548,352.64 "
2013,18,Energia,Promocion en materia de aprovechamiento sustentable de la energia,"$23,245,151.00 ",1.08598,"$21,404,768.96 "
2013,18,Energia,Supervisar el aprovechamiento sustentable de la energia,"$12,681,256.00 ",1.08598,"$11,677,246.36 "
2013,18,Energia,Actividades de apoyo administrativo,"$4,838,840.00 ",1.08598,"$4,455,735.83 "
2013,18,Energia,Conduccion de la politica energetica,"$208,437,426.00 ",1.08598,"$191,934,866.20 "
2013,18,Energia,Coordinacion de la implementacion de la politica energetica y de las entidades del sector electricidad,"$90,195,326.00 ",1.08598,"$83,054,315.92 "
2013,18,Energia,Seguimiento y evaluacion de politicas publicas en aprovechamiento sustentable de la energia,"$21,044,999.00 ",1.08598,"$19,378,809.00 "
2013,18,Energia,Fondo para la Transicion Energetica y Aprovechamiento Sustentable de Energia,"$300,000,000.00 ",1.08598,"$276,248,181.40 "
2013,20,Desarrollo Social,Programa Prevención de Riesgos en los Asentamientos Humanos,"$49,769,060.00 ",1.08598,"$45,828,707.71 "
2013,21,Turismo,Establecer y conducir la política de turismo,"$655,000.00 ",1.08598,"$603,141.86 "
2013,23,Provisiones Salariales y Economicas,Fondo de Desastres Naturales (FONDEN),"$5,507,887,975.00 ",1.08598,"$5,071,813,454.00 "
2013,23,Provisiones Salariales y Economicas,Fondo de Prevencion de Desastres Naturales (FOPREDEN),"$322,920,000.00 ",1.08598,"$297,353,542.40 "
2013,38,Consejo Nacional de Ciencia y Tecnología,"Apoyos institucionales para actividades cientificas, tecnologicas y de innovacion","$150,000.00 ",1.08598,"$138,124.09 "
2013,52,Petroleos Mexicanos,Actividades destinadas a la operación y mantenimiento de la infraestructura básica en ecología,"$3,533,988,992.00 ",1.08598,"$3,254,193,440.00 "
2013,53,Comision Federal de Electricidad,Promocion de medidas para el ahorro y uso eficiente de la energia electrica,"$45,417,244.00 ",1.08598,"$41,821,436.86 "
2014,4,Gobernacion,Coordinación del Sistema Nacional de Protección Civil,"$241,797,812.00 ",1.13099,"$213,793,059.20 "
2014,6,Hacienda y Credito Publico,Programa para el Mejoramiento de la Produccion y la Productividad Indigena,"$48,096,746.00 ",1.13099,"$42,526,234.54 "
2014,8,"Agricultura, Ganaderia, Desarrollo Rural, Pesca y Alimentacion",Programa de Fomento a la Agricultura,"$851,977,598.00 ",1.13099,"$753,302,503.10 "
2014,8,"Agricultura, Ganaderia, Desarrollo Rural, Pesca y Alimentacion",Programa de fomento a la Productividad Pesquera y Acuicola,"$591,188,004.00 ",1.13099,"$522,717,268.90 "
2014,8,"Agricultura, Ganaderia, Desarrollo Rural, Pesca y Alimentacion",Programa de Fomento Ganadero,"$4,560,771,176.00 ",1.13099,"$4,032,547,747.00 "
2014,8,"Agricultura, Ganaderia, Desarrollo Rural, Pesca y Alimentacion",Programa Integral de Desarrollo Rural,"$5,711,073,748.00 ",1.13099,"$5,049,623,558.00 "
2014,9,Comunicaciones y Transportes,Reconstruccion y Conservacion de Carreteras,"$1,075,349,983.00 ",1.13099,"$950,804,147.70 "
2014,10,Economia,Promocion de una cultura de consumo responsable e inteligente,"$450,000.00 ",1.13099,"$397,881.50 "
2014,10,Economia,Promocion del Comercio Exterior y Atraccion de Inversion Extranjera Directa,"$10,000,000.00 ",1.13099,"$8,841,811.16 "
2014,12,Salud,Proteccion Contra Riesgos Sanitarios,"$268,221,810.00 ",1.13099,"$237,156,659.20 "
2014,12,Salud,Vigilancia epidemiologica,"$382,887,782.00 ",1.13099,"$338,542,146.30 "
2014,13,Marina,Seguridad a la Navegacion y Proteccion al Medio Ambiente Marino,"$201,903,004.00 ",1.13099,"$178,518,823.30 "
2014,15,"Desarrollo Agrario, Territorial y Urbano",Programa de prevencion de riesgos en los asentamientos humanos,"$34,090,000.00 ",1.13099,"$30,141,734.23 "
2014,15,"Desarrollo Agrario, Territorial y Urbano",Programa de Reordenamiento y Rescate de Unidades Habitacionales,"$17,000,000.00 ",1.13099,"$15,031,078.97 "
2014,16,Medio Ambiente y Recursos Naturales,Actividades de apoyo a la funcion publica y buen gobierno,"$15,573,904.00 ",1.13099,"$13,770,151.81 "
2014,16,Medio Ambiente y Recursos Naturales,Actividades de apoyo administrativo,"$11,931,867.00 ",1.13099,"$10,549,931.48 "
2014,16,Medio Ambiente y Recursos Naturales,Capacitacion Ambiental y Desarrollo Sustentable,"$7,533,904.00 ",1.13099,"$6,661,335.64 "
2014,16,Medio Ambiente y Recursos Naturales,Consolidar el Sistema Nacional de Areas Naturales Protegidas,"$246,188,091.00 ",1.13099,"$217,674,861.00 "
2014,16,Medio Ambiente y Recursos Naturales,"Cuotas, Apoyos y Aportaciones a Organismos Internacionales","$18,259,938.00 ",1.13099,"$16,145,092.35 "
2014,16,Medio Ambiente y Recursos Naturales,Fideicomisos Ambientales,"$1,110,000.00 ",1.13099,"$981,441.04 "
2014,16,Medio Ambiente y Recursos Naturales,Fomento a Programas de Calidad del Aire y Verificacion Vehicular,"$1,471,006.00 ",1.13099,"$1,300,635.73 "
2014,16,Medio Ambiente y Recursos Naturales,Fomento para la Conservacion y Aprovechamiento Sustentable de la Vida Silvestre,"$174,033,972.00 ",1.13099,"$153,877,551.50 "
2014,16,Medio Ambiente y Recursos Naturales,Infraestructura para la Proteccion de Centros de Poblacion y Areas Productivas,"$2,896,487,147.00 ",1.13099,"$2,561,019,237.00 "
2014,16,Medio Ambiente y Recursos Naturales,Inversion del Servicio Meteorologico Nacional,"$63,957,296.00 ",1.13099,"$56,549,833.33 "
2014,16,Medio Ambiente y Recursos Naturales,Inversion para el Manejo Integral del Ciclo Hidrologico,"$71,820,571.00 ",1.13099,"$63,502,392.59 "
2014,16,Medio Ambiente y Recursos Naturales,Investigacion cientifica y tecnologica,"$253,994,512.00 ",1.13099,"$224,577,151.00 "
2014,16,Medio Ambiente y Recursos Naturales,"Investigacion en Cambio Climatico, sustentabilidad ambiental y crecimiento verde","$244,013,625.00 ",1.13099,"$215,752,239.20 "
2014,16,Medio Ambiente y Recursos Naturales,Manejo Sustentable de tierras,"$3,100,000.00 ",1.13099,"$2,740,961.46 "
2014,16,Medio Ambiente y Recursos Naturales,Normatividad Ambiental e Instrumentos de Fomento para el Desarrollo Sustentable,"$24,082,832.00 ",1.13099,"$21,293,585.27 "
2014,16,Medio Ambiente y Recursos Naturales,"Planeacion, Direccion y  Evaluacion Ambiental","$160,989,196.00 ",1.13099,"$142,343,606.90 "
2014,16,Medio Ambiente y Recursos Naturales,Politicas de Investigacion de Cambio Climatico,"$5,185,413.00 ",1.13099,"$4,584,844.25 "
2014,16,Medio Ambiente y Recursos Naturales,Prevencion y gestion integral de residuos,"$653,493,238.00 ",1.13099,"$577,806,380.30 "
2014,16,Medio Ambiente y Recursos Naturales,Programa de Conservacion para el Desarrollo Sostenible (PROCODES),"$225,600,000.00 ",1.13099,"$199,471,259.70 "
2014,16,Medio Ambiente y Recursos Naturales,Programa de Cultura del Agua,"$1,094,000.00 ",1.13099,"$967,294.14 "
2014,16,Medio Ambiente y Recursos Naturales,Programa de Desarrollo Institucional y  Ambiental,"$450,000.00 ",1.13099,"$397,881.50 "
2014,16,Medio Ambiente y Recursos Naturales,Programa de Inspeccion y Vigilancia en Materia de Medio Ambiente y Recursos Naturales,"$56,597,819.00 ",1.13099,"$50,042,722.75 "
2014,16,Medio Ambiente y Recursos Naturales,Programa de Inversion en Infraestructura Social y de Proteccion Ambiental,"$13,620,712.00 ",1.13099,"$12,043,176.33 "
2014,16,Medio Ambiente y Recursos Naturales,Programa de Tratamiento de Aguas Residuales,"$108,585,000.00 ",1.13099,"$96,008,806.44 "
2014,16,Medio Ambiente y Recursos Naturales,Programa de Vigilancia Comunitaria en Areas Naturales Protegidas y Zonas de Influencia,"$21,500,000.00 ",1.13099,"$19,009,893.99 "
2014,16,Medio Ambiente y Recursos Naturales,Programa hacia la igualdad y la sustentabilidad ambiental,"$4,047,839.00 ",1.13099,"$3,579,022.80 "
2014,16,Medio Ambiente y Recursos Naturales,Programa Nacional Forestal Pago por Servicios Ambientales,"$2,134,059,070.00 ",1.13099,"$1,886,894,729.00 "
2014,16,Medio Ambiente y Recursos Naturales,Programa Nacional Forestal-Desarrollo Forestal,"$2,550,140,930.00 ",1.13099,"$2,254,786,453.00 "
2014,16,Medio Ambiente y Recursos Naturales,Programa Nacional Forestal-Proteccion Forestal,"$2,265,640,700.00 ",1.13099,"$2,003,236,722.00 "
2014,16,Medio Ambiente y Recursos Naturales,Programa para atender desastres naturales,"$200,382,000.00 ",1.13099,"$177,173,980.30 "
2014,16,Medio Ambiente y Recursos Naturales,Programas Hidricos Integrales,"$332,831,400.00 ",1.13099,"$294,283,238.60 "
2014,16,Medio Ambiente y Recursos Naturales,Regulacion Ambiental,"$68,455,187.00 ",1.13099,"$60,526,783.61 "
2014,16,Medio Ambiente y Recursos Naturales,Servicio Meteorológico Nacional y  Estaciones Hidrometeorológicas,"$243,135,439.00 ",1.13099,"$214,975,763.70 "
2014,16,Medio Ambiente y Recursos Naturales,Zona de Mitigación y Rescate Ecológico en el Lago de Texcoco,"$46,727,877.00 ",1.13099,"$41,315,906.42 "
2014,18,Energia,Actividades de apoyo administrativo,"$4,838,840.00 ",1.13099,"$4,278,410.95 "
2014,18,Energia,Conduccion de la politica energetica,"$237,294,466.00 ",1.13099,"$209,811,285.70 "
2014,18,Energia,Coordinacion de la implementacion de la politica energetica y de las entidades del sector electricidad,"$96,753,271.00 ",1.13099,"$85,547,415.10 "
2014,18,Energia,Fondo para la Transicion Energetica y Aprovechamiento Sustentable de Energia,"$1,030,300,000.00 ",1.13099,"$910,971,803.50 "
2014,18,Energia,Gestión e implementación en aprovechamiento sustentable de la energía,"$29,161,927.00 ",1.13099,"$25,784,425.15 "
2014,18,Energia,Mantenimiento de infraestructura,"$100,648,282.00 ",1.13099,"$88,991,310.27 "
2014,18,Energia,Otros programas de inversion,$102.00 ,1.13099,$90.19 
2014,18,Energia,Otros proyectos,"$36,409,731.00 ",1.13099,"$32,192,796.58 "
2014,18,Energia,Promocion de medidas para el ahorro y uso eficiente de la energia electrica,"$6,087,816.00 ",1.13099,"$5,382,731.94 "
2014,18,Energia,Promocion en materia de aprovechamiento sustentable de la energia,"$21,572,757.00 ",1.13099,"$19,074,224.35 "
2014,18,Energia,Proyectos de infraestructura economica de hidrocarburos,"$2,170,791,072.00 ",1.13099,"$1,919,372,472.00 "
2014,18,Energia,Seguimiento y evaluacion de politicas publicas en aprovechamiento sustentable de la energia,"$21,366,819.00 ",1.13099,"$18,892,137.86 "
2014,18,Energia,Supervisar el aprovechamiento sustentable de la energia,"$13,326,868.00 ",1.13099,"$11,783,365.02 "
2014,21,Turismo,Actividades de apoyo a la funcion publica y buen gobierno,"$1,648.00 ",1.13099,"$1,457.13 "
2014,21,Turismo,Actividades de apoyo administrativo,"$25,371.00 ",1.13099,"$22,432.56 "
2014,21,Turismo,Desarrollo de infraestructura para el fomento y promocion de la inversion en el sector turistico,"$219,798.00 ",1.13099,"$194,341.24 "
2014,21,Turismo,Desarrollo e innovacion de productos turisticos sustentables,"$68,161.00 ",1.13099,"$60,266.67 "
2014,21,Turismo,Impulso a la competitividad del sector turismo,"$68,514.00 ",1.13099,"$60,578.78 "
2014,21,Turismo,Planeacion y conduccion de la politica de turismo,"$204,327.00 ",1.13099,"$180,662.07 "
2014,21,Turismo,Promocion de Mexico como Destino Turistico,"$33,911.00 ",1.13099,"$29,983.47 "
2014,21,Turismo,Regulacion y certificacion  de estandares de calidad turistica,"$24,180.00 ",1.13099,"$21,379.50 "
2014,21,Turismo,Servicios de asistencia integral e informacion turistica,"$9,090.00 ",1.13099,"$8,037.21 "
2014,23,Provisiones Salariales y Economicas,Fondo de Desastres Naturales (FONDEN),"$6,245,468,947.00 ",1.13099,"$5,522,125,701.00 "
2014,23,Provisiones Salariales y Economicas,Fondo de Prevencion de Desastres Naturales (FOPREDEN),"$335,190,960.00 ",1.13099,"$296,369,517.00 "
2014,38,"Consejo Nacional de Humanidades, Ciencia y Tecnologia","Apoyos institucionales para actividades cientificas, tecnologicas y de innovacion","$2,000,000.00 ",1.13099,"$1,768,362.23 "
2014,38,"Consejo Nacional de Humanidades, Ciencia y Tecnologia",Becas de posgrado y otras modalidades de apoyo a la calidad,"$100,000,000.00 ",1.13099,"$88,418,111.57 "
2014,38,"Consejo Nacional de Humanidades, Ciencia y Tecnologia","Innovacion tecnologica para negocios de alto valor agregado, tecnologias precursoras y competitividad de las empresas","$130,000,000.00 ",1.13099,"$114,943,545.00 "
2015,4,Gobernacion,Coordinación del Sistema Nacional de Protección Civil,"$240,030,704.00 ",1.16174,"$206,613,101.00 "
2015,6,Hacienda y Credito Publico,Programa para el Mejoramiento de la Produccion y la Productividad Indigena,"$54,150,000.00 ",1.16174,"$46,611,117.81 "
2015,8,"Agricultura, Ganaderia, Desarrollo Rural, Pesca y Alimentacion",Programa de Fomento a la Agricultura,"$1,097,958,287.00 ",1.16174,"$945,098,117.50 "
2015,8,"Agricultura, Ganaderia, Desarrollo Rural, Pesca y Alimentacion",Programa de fomento a la Productividad Pesquera y Acuicola,"$1,995,840,181.00 ",1.16174,"$1,717,974,918.00 "
2015,8,"Agricultura, Ganaderia, Desarrollo Rural, Pesca y Alimentacion",Programa de Fomento Ganadero,"$4,420,744,342.00 ",1.16174,"$3,805,278,584.00 "
2015,8,"Agricultura, Ganaderia, Desarrollo Rural, Pesca y Alimentacion",Programa Integral de Desarrollo Rural,"$5,977,931,569.00 ",1.16174,"$5,145,670,777.00 "
2015,9,Comunicaciones y Transportes,Reconstruccion y Conservacion de Carreteras,"$1,329,333,000.00 ",1.16174,"$1,144,260,334.00 "
2015,10,Economia,Promocion de una cultura de consumo responsable e inteligente,"$450,000.00 ",1.16174,"$387,350.01 "
2015,10,Economia,Promocion del Comercio Exterior y Atraccion de Inversion Extranjera Directa,"$10,000,000.00 ",1.16174,"$8,607,777.99 "
2015,12,Salud,Proteccion Contra Riesgos Sanitarios,"$270,895,964.00 ",1.16174,"$233,181,231.60 "
2015,12,Salud,Vigilancia epidemiologica,"$372,887,782.00 ",1.16174,"$320,973,524.20 "
2015,13,Marina,Seguridad a la Navegacion y Proteccion al Medio Ambiente Marino,"$178,708,250.00 ",1.16174,"$153,828,094.10 "
2015,15,"Desarrollo Agrario, Territorial y Urbano",Programa de prevencion de riesgos en los asentamientos humanos,"$35,264,198.00 ",1.16174,"$30,354,638.73 "
2015,15,"Desarrollo Agrario, Territorial y Urbano",Programa de Reordenamiento y Rescate de Unidades Habitacionales,"$17,571,995.00 ",1.16174,"$15,125,583.18 "
2015,16,Medio Ambiente y Recursos Naturales,Actividades de apoyo a la funcion publica y buen gobierno,"$4,330,695.00 ",1.16174,"$3,727,766.11 "
2015,16,Medio Ambiente y Recursos Naturales,Actividades de apoyo administrativo,"$13,226,305.00 ",1.16174,"$11,384,909.70 "
2015,16,Medio Ambiente y Recursos Naturales,Capacitacion Ambiental y Desarrollo Sustentable,"$7,581,473.00 ",1.16174,"$6,525,963.64 "
2015,16,Medio Ambiente y Recursos Naturales,Consolidar el Sistema Nacional de Areas Naturales Protegidas,"$246,188,091.00 ",1.16174,"$211,913,243.10 "
2015,16,Medio Ambiente y Recursos Naturales,"Cuotas, Apoyos y Aportaciones a Organismos Internacionales","$18,259,938.00 ",1.16174,"$15,717,749.24 "
2015,16,Medio Ambiente y Recursos Naturales,Fideicomisos Ambientales,"$1,110,000.00 ",1.16174,"$955,463.36 "
2015,16,Medio Ambiente y Recursos Naturales,Fomento a Programas de Calidad del Aire y Verificacion Vehicular,"$1,471,006.00 ",1.16174,"$1,266,209.31 "
2015,16,Medio Ambiente y Recursos Naturales,Fomento para la Conservacion y Aprovechamiento Sustentable de la Vida Silvestre,"$179,951,127.00 ",1.16174,"$154,897,935.00 "
2015,16,Medio Ambiente y Recursos Naturales,Incentivos para la operación de plantas de tratamiento de aguas residuales,"$258,500,000.00 ",1.16174,"$222,511,061.00 "
2015,16,Medio Ambiente y Recursos Naturales,Investigacion cientifica y tecnologica,"$250,006,416.00 ",1.16174,"$215,199,972.50 "
2015,16,Medio Ambiente y Recursos Naturales,"Investigacion en Cambio Climatico, sustentabilidad ambiental y crecimiento verde","$242,417,912.00 ",1.16174,"$208,667,956.70 "
2015,16,Medio Ambiente y Recursos Naturales,Normatividad Ambiental e Instrumentos de Fomento para el Desarrollo Sustentable,"$37,547,969.00 ",1.16174,"$32,320,458.11 "
2015,16,Medio Ambiente y Recursos Naturales,"Planeacion, Direccion y  Evaluacion Ambiental","$143,733,541.00 ",1.16174,"$123,722,641.00 "
2015,16,Medio Ambiente y Recursos Naturales,Politicas de Investigacion de Cambio Climatico,"$5,226,620.00 ",1.16174,"$4,498,958.46 "
2015,16,Medio Ambiente y Recursos Naturales,Prevencion y gestion integral de residuos,"$675,712,008.00 ",1.16174,"$581,637,894.90 "
2015,16,Medio Ambiente y Recursos Naturales,Programa de Conservacion para el Desarrollo Sostenible (PROCODES),"$226,242,795.00 ",1.16174,"$194,744,775.10 "
2015,16,Medio Ambiente y Recursos Naturales,Programa de Desarrollo Institucional y  Ambiental,"$465,300.00 ",1.16174,"$400,519.91 "
2015,16,Medio Ambiente y Recursos Naturales,Programa de Empleo Temporal,"$589,158,594.00 ",1.16174,"$507,134,637.70 "
2015,16,Medio Ambiente y Recursos Naturales,Programa de Inspeccion y Vigilancia en Materia de Medio Ambiente y Recursos Naturales,"$56,597,819.00 ",1.16174,"$48,718,146.06 "
2015,16,Medio Ambiente y Recursos Naturales,Programa de Inversion en Infraestructura Social y de Proteccion Ambiental,"$3,263,180.00 ",1.16174,"$2,808,872.90 "
2015,16,Medio Ambiente y Recursos Naturales,Programa de Tratamiento de Aguas Residuales,"$2,990,087,387.00 ",1.16174,"$2,573,800,839.00 "
2015,16,Medio Ambiente y Recursos Naturales,Programa de Vigilancia Comunitaria en Areas Naturales Protegidas y Zonas de Influencia,"$22,231,000.00 ",1.16174,"$19,135,951.25 "
2015,16,Medio Ambiente y Recursos Naturales,Programa hacia la igualdad y la sustentabilidad ambiental,"$4,185,465.00 ",1.16174,"$3,602,755.35 "
2015,16,Medio Ambiente y Recursos Naturales,Programa Nacional Forestal Pago por Servicios Ambientales,"$2,206,617,078.00 ",1.16174,"$1,899,406,991.00 "
2015,16,Medio Ambiente y Recursos Naturales,Programa Nacional Forestal-Desarrollo Forestal,"$2,786,727,721.00 ",1.16174,"$2,398,753,354.00 "
2015,16,Medio Ambiente y Recursos Naturales,Programa Nacional Forestal-Proteccion Forestal,"$2,261,070,104.00 ",1.16174,"$1,946,278,947.00 "
2015,16,Medio Ambiente y Recursos Naturales,Regulacion Ambiental,"$68,890,086.00 ",1.16174,"$59,299,056.59 "
2015,16,Medio Ambiente y Recursos Naturales,Túnel Emisor Oriente y planta de Tratamiento Atotonilco,"$3,250,584,400.00 ",1.16174,"$2,798,030,885.00 "
2015,18,Energia,Actividades de apoyo administrativo,"$4,850,000.00 ",1.16174,"$4,174,772.32 "
2015,18,Energia,Conduccion de la politica energetica,"$262,613,619.00 ",1.16174,"$226,051,972.90 "
2015,18,Energia,Coordinacion de la implementacion de la politica energetica y de las entidades del sector electricidad,"$209,790,076.00 ",1.16174,"$180,582,639.80 "
2015,18,Energia,Fondo para la Transicion Energetica y Aprovechamiento Sustentable de Energia,"$430,300,000.00 ",1.16174,"$370,392,686.80 "
2015,18,Energia,Gestión e implementación en aprovechamiento sustentable de la energía,"$33,188,562.00 ",1.16174,"$28,567,977.34 "
2015,18,Energia,Mantenimiento de infraestructura,"$125,160,315.00 ",1.16174,"$107,735,220.50 "
2015,18,Energia,Otros proyectos,"$54,150,864.00 ",1.16174,"$46,611,861.52 "
2015,18,Energia,Promocion de medidas para el ahorro y uso eficiente de la energia electrica,"$5,313,434.00 ",1.16174,"$4,573,686.02 "
2015,18,Energia,Promocion en materia de aprovechamiento sustentable de la energia,"$25,716,076.00 ",1.16174,"$22,135,827.29 "
2015,18,Energia,Proyectos de infraestructura economica de hidrocarburos,"$315,977,830.00 ",1.16174,"$271,986,701.00 "
2015,18,Energia,Seguimiento y evaluacion de politicas publicas en aprovechamiento sustentable de la energia,"$25,498,454.00 ",1.16174,"$21,948,503.11 "
2015,18,Energia,Supervisar el aprovechamiento sustentable de la energia,"$16,963,027.00 ",1.16174,"$14,601,397.04 "
2015,21,Turismo,Planeacion y conduccion de la politica de turismo,"$655,000.00 ",1.16174,"$563,809.46 "
2015,23,Provisiones Salariales y Economicas,Fondo de Desastres Naturales (FONDEN),"$6,008,472,100.00 ",1.16174,"$5,171,959,389.00 "
2015,23,Provisiones Salariales y Economicas,Fondo de Prevencion de Desastres Naturales (FOPREDEN),"$346,587,453.00 ",1.16174,"$298,334,784.90 "
2015,38,"Consejo Nacional de Humanidades, Ciencia y Tecnologia","Apoyos institucionales para actividades cientificas, tecnologicas y de innovacion","$5,000,000.00 ",1.16174,"$4,303,888.99 "
2015,38,"Consejo Nacional de Humanidades, Ciencia y Tecnologia",Becas de posgrado y otras modalidades de apoyo a la calidad,"$100,000,000.00 ",1.16174,"$86,077,779.88 "
2015,38,"Consejo Nacional de Humanidades, Ciencia y Tecnologia","Innovacion tecnologica para negocios de alto valor agregado, tecnologias precursoras y competitividad de las empresas","$140,050,710.00 ",1.16174,"$120,552,541.90 "
2016,4,Gobernacion,Coordinación del Sistema Nacional de Protección Civil,"$206,661,965.00 ",1.19187,"$173,393,042.00 "
2016,8,"Agricultura, Ganaderia, Desarrollo Rural, Pesca y Alimentacion",Programa de Fomento a la Agricultura,"$700,000,000.00 ",1.19187,"$587,312,374.70 "
2016,8,"Agricultura, Ganaderia, Desarrollo Rural, Pesca y Alimentacion",Programa de fomento a la Productividad Pesquera y Acuicola,"$1,795,507,240.00 ",1.19187,"$1,506,462,316.00 "
2016,8,"Agricultura, Ganaderia, Desarrollo Rural, Pesca y Alimentacion",Programa de Fomento Ganadero,"$4,341,929,476.00 ",1.19187,"$3,642,955,587.00 "
2016,8,"Agricultura, Ganaderia, Desarrollo Rural, Pesca y Alimentacion",Programa de Productividad Rural,"$5,183,000,000.00 ",1.19187,"$4,348,628,626.00 "
2016,8,"Agricultura, Ganaderia, Desarrollo Rural, Pesca y Alimentacion",Programa de Productividad y Competitividad Agroalimentaria,"$435,422,591.00 ",1.19187,"$365,327,251.30 "
2016,9,Comunicaciones y Transportes,Reconstruccion y Conservacion de Carreteras,"$1,329,333,000.00 ",1.19187,"$1,115,333,887.00 "
2016,10,Economia,Promocion del Comercio Exterior y Atraccion de Inversion Extranjera Directa,"$10,000,000.00 ",1.19187,"$8,390,176.78 "
2016,12,Salud,Proteccion Contra Riesgos Sanitarios,"$87,250,354.00 ",1.19187,"$73,204,589.43 "
2016,12,Salud,Vigilancia epidemiologica,"$356,293,382.00 ",1.19187,"$298,936,446.10 "
2016,13,Marina,Emplear el Poder Naval de la Federacion para salvaguardar la soberania y seguridad nacionales,"$180,717,854.00 ",1.19187,"$151,625,474.30 "
2016,15,"Desarrollo Agrario, Territorial y Urbano",Programa de Infraestructura,"$2,417,935,953.00 ",1.19187,"$2,028,691,009.00 "
2016,15,"Desarrollo Agrario, Territorial y Urbano",Programa de Prevencion de Riesgos,"$21,370,602.00 ",1.19187,"$17,930,312.87 "
2016,16,Medio Ambiente y Recursos Naturales,Actividades de apoyo a la funcion publica y buen gobierno,"$3,628,030.00 ",1.19187,"$3,043,981.31 "
2016,16,Medio Ambiente y Recursos Naturales,Actividades de apoyo administrativo,"$10,412,416.00 ",1.19187,"$8,736,201.10 "
2016,16,Medio Ambiente y Recursos Naturales,Capacitacion Ambiental y Desarrollo Sustentable,"$5,109,911.00 ",1.19187,"$4,287,305.66 "
2016,16,Medio Ambiente y Recursos Naturales,Apoyos para el Desarrollo Forestal Sustentable,"$5,178,037,490.00 ",1.19187,"$4,344,464,992.00 "
2016,16,Medio Ambiente y Recursos Naturales,Conservacion y Aprovechamiento Sustentable de la Vida Silvestre,"$188,570,937.00 ",1.19187,"$158,214,349.70 "
2016,16,Medio Ambiente y Recursos Naturales,Fideicomisos Ambientales,"$3,427,679.00 ",1.19187,"$2,875,883.28 "
2016,16,Medio Ambiente y Recursos Naturales,"Infraestructura de agua potable, alcantarillado y saneamiento","$3,992,996,186.00 ",1.19187,"$3,350,194,389.00 "
2016,16,Medio Ambiente y Recursos Naturales,Inspección y Vigilancia del Medio Ambiente y Recursos Naturales,"$94,443,837.00 ",1.19187,"$79,240,048.83 "
2016,16,Medio Ambiente y Recursos Naturales,Investigacion cientifica y tecnologica,"$213,445,065.00 ",1.19187,"$179,084,182.80 "
2016,16,Medio Ambiente y Recursos Naturales,"Investigacion en Cambio Climatico, sustentabilidad ambiental y crecimiento verde","$194,965,712.00 ",1.19187,"$163,579,679.00 "
2016,16,Medio Ambiente y Recursos Naturales,Normatividad Ambiental e Instrumentos de Fomento para el Desarrollo Sustentable,"$29,939,649.00 ",1.19187,"$25,119,894.79 "
2016,16,Medio Ambiente y Recursos Naturales,"Planeacion, Direccion y  Evaluacion Ambiental","$113,856,203.00 ",1.19187,"$95,527,367.08 "
2016,16,Medio Ambiente y Recursos Naturales,Prevencion y gestion integral de residuos,"$707,437,223.00 ",1.19187,"$593,552,336.20 "
2016,16,Medio Ambiente y Recursos Naturales,Programa de Conservacion para el Desarrollo Sostenible (PROCODES),"$234,894,914.00 ",1.19187,"$197,080,985.30 "
2016,16,Medio Ambiente y Recursos Naturales,Programa de Empleo Temporal,"$607,422,510.00 ",1.19187,"$509,638,224.00 "
2016,16,Medio Ambiente y Recursos Naturales,Programa de Manejo de Areas Naturales Protegidas,"$44,397,912.00 ",1.19187,"$37,250,633.04 "
2016,16,Medio Ambiente y Recursos Naturales,Programa hacia la igualdad y la sustentabilidad ambiental,"$5,272,616.00 ",1.19187,"$4,423,818.03 "
2016,16,Medio Ambiente y Recursos Naturales,Programa de Calidad del Aire y Verificacion Vehicular,"$931,091.00 ",1.19187,"$781,201.81 "
2016,16,Medio Ambiente y Recursos Naturales,Programa de Tratamiento de Aguas Residuales,"$2,462,748,956.00 ",1.19187,"$2,066,289,911.00 "
2016,16,Medio Ambiente y Recursos Naturales,Proteccion Forestal,"$2,282,157,204.00 ",1.19187,"$1,914,770,238.00 "
2016,16,Medio Ambiente y Recursos Naturales,Regulacion Ambiental,"$64,405,920.00 ",1.19187,"$54,037,705.45 "
2016,16,Medio Ambiente y Recursos Naturales,Sistema Nacional de Areas Naturales Protegidas,"$193,425,305.00 ",1.19187,"$162,287,250.30 "
2016,18,Energia,Actividades de apoyo administrativo,"$4,852,726.00 ",1.19187,"$4,071,522.90 "
2016,18,Energia,Conduccion de la politica energetica,"$240,114,835.00 ",1.19187,"$201,460,591.30 "
