AÑO,RAMO_ID,RAMO,DENOMINACION, MONTO ,FACTOR, VALOR_REAL 
2022,53,Comision Federal de Electricidad,Mantenimiento de infraestructura,"$505,809,095.00 ",1.23088,"$410,932,905.70 "
2022,53,Comision Federal de Electricidad,Operacion y mantenimiento de las centrales generadoras de energia electrica,"$2,500,000.00 ",1.23088,"$2,031,067.20 "
2022,53,Comision Federal de Electricidad,Servicio de transporte de gas natural,"$47,448,826,365.00 ",1.23088,"$38,548,702,038.00 "
2022,53,Comision Federal de Electricidad,Proyectos de infraestructura economica de electricidad,"$110,000,000.00 ",1.23088,"$89,366,956.97 "
2022,53,Comision Federal de Electricidad,Promocion de medidas para el ahorro y uso eficiente de la energia electrica,"$578,063.00 ",1.23088,"$469,633.92 "
2023,8,Agricultura y Desarrollo Rural,"Desarrollo, aplicacion de programas educativos e investigacion en materia agroalimentaria","$7,566,842.00 ",1.2897,"$5,867,133.44 "
2023,8,Agricultura y Desarrollo Rural,Generacion de Proyectos de Investigacion,"$993,040.00 ",1.2897,"$769,977.51 "
2023,8,Agricultura y Desarrollo Rural,Actividades de apoyo administrativo,"$7,354,975.00 ",1.2897,"$5,702,857.25 "
2023,8,Agricultura y Desarrollo Rural,Diseño y Aplicacion de la Politica Agropecuaria,"$10,267,809.00 ",1.2897,"$7,961,393.35 "
2023,8,Agricultura y Desarrollo Rural,"Programa de Abasto Social de Leche a cargo de Liconsa, S.A. de C.V.","$394,214,449.00 ",1.2897,"$305,663,680.70 "
2023,8,Agricultura y Desarrollo Rural,"Programa de Abasto Rural a cargo de Diconsa, S.A. de C.V. (DICONSA)","$940,955,873.00 ",1.2897,"$729,592,830.10 "
2023,8,Agricultura y Desarrollo Rural,Sanidad e Inocuidad Agroalimentaria,"$97,723,562.00 ",1.2897,"$75,772,320.69 "
2023,8,Agricultura y Desarrollo Rural,Produccion para el Bienestar,"$539,999,994.00 ",1.2897,"$418,702,019.10 "
2023,8,Agricultura y Desarrollo Rural,"Programa de Fomento a la Agricultura, ganaderia, pesca y acuicultura","$3,593,764.00 ",1.2897,"$2,786,511.59 "
2023,9,Comunicaciones y Transportes,Reconstruccion y Conservacion de Carreteras,"$105,000,000.00 ",1.2897,"$81,414,282.39 "
2023,10,Economia,Estudios de preinversion,"$7,315,280.00 ",1.2897,"$5,672,078.78 "
2023,11,Educacion Publica,Servicios de Educacion Media Superior,"$1,535,250,562.00 ",1.2897,"$1,190,393,550.00 "
2023,11,Educacion Publica,Servicios de Educación Superior y Posgrado,"$278,157,169.00 ",1.2897,"$215,675,869.60 "
2023,11,Educacion Publica,Investigacion cientifica y tecnologica,"$1,448,571,591.00 ",1.2897,"$1,123,184,920.00 "
2023,11,Educacion Publica,Programa Nacional de Becas,"$2,965,387.00 ",1.2897,"$2,299,284.33 "
2023,11,Educacion Publica,Subsidios para organismos descentralizados estatales,"$21,206,776.00 ",1.2897,"$16,443,185.24 "
2023,12,Salud,Proteccion Contra Riesgos Sanitarios,"$13,243,124.00 ",1.2897,"$10,268,375.59 "
2023,12,Salud,Vigilancia epidemiologica,"$363,854,565.00 ",1.2897,"$282,123,412.40 "
2023,13,Marina,Emplear el Poder Naval de la Federacion para salvaguardar la soberania y seguridad nacionales,"$13,005,275.00 ",1.2897,"$10,083,953.63 "
2023,15,"Desarrollo Agrario, Territorial y Urbano",Programa de Vivienda Social,"$41,117,583.00 ",1.2897,"$31,881,509.65 "
2023,15,"Desarrollo Agrario, Territorial y Urbano",Programa de Mejoramiento Urbano (PMU),"$635,069,925.00 ",1.2897,"$492,416,783.00 "
2023,16,Medio Ambiente y Recursos Naturales,Actividades de apoyo a la funcion publica y buen gobierno,"$3,747,359.00 ",1.2897,"$2,905,605.18 "
2023,16,Medio Ambiente y Recursos Naturales,Actividades de apoyo administrativo,"$12,613,851.00 ",1.2897,"$9,780,453.59 "
2023,16,Medio Ambiente y Recursos Naturales,Capacitacion Ambiental y Desarrollo Sustentable,"$4,294,319.00 ",1.2897,"$3,329,703.81 "
2023,16,Medio Ambiente y Recursos Naturales,Apoyos para el Desarrollo Forestal Sustentable,"$861,967,125.00 ",1.2897,"$668,346,999.30 "
2023,16,Medio Ambiente y Recursos Naturales,"Agua Potable, Drenaje y Tratamiento","$710,160,524.00 ",1.2897,"$550,640,089.90 "
2023,16,Medio Ambiente y Recursos Naturales,Conservación y Manejo de Áreas Naturales Protegidas,"$65,700,328.00 ",1.2897,"$50,942,333.88 "
2023,16,Medio Ambiente y Recursos Naturales,Gestion integral y sustentable del agua,"$1,238,300,000.00 ",1.2897,"$960,145,770.30 "
2023,16,Medio Ambiente y Recursos Naturales,Inspección y Vigilancia del Medio Ambiente y Recursos Naturales,"$60,073,263.00 ",1.2897,"$46,579,253.31 "
2023,16,Medio Ambiente y Recursos Naturales,Investigacion cientifica y tecnologica,"$204,197,496.00 ",1.2897,"$158,329,453.40 "
2023,16,Medio Ambiente y Recursos Naturales,"Investigacion en Cambio Climatico, sustentabilidad ambiental y crecimiento verde","$169,960,631.00 ",1.2897,"$131,783,074.40 "
2023,16,Medio Ambiente y Recursos Naturales,Normatividad Ambiental e Instrumentos de Fomento para el Desarrollo Sustentable,"$64,632,281.00 ",1.2897,"$50,114,197.88 "
2023,16,Medio Ambiente y Recursos Naturales,"Planeacion, Direccion y  Evaluacion Ambiental","$143,654,540.00 ",1.2897,"$111,386,012.30 "
2023,16,Medio Ambiente y Recursos Naturales,Programa de Conservacion para el Desarrollo Sostenible (PROCODES),"$147,846,714.00 ",1.2897,"$114,636,515.50 "
2023,16,Medio Ambiente y Recursos Naturales,Programa de apoyo a la infraestructura hidroagricola,"$1,706,793,700.00 ",1.2897,"$1,323,403,660.00 "
2023,16,Medio Ambiente y Recursos Naturales,Programa para la Protección y Restauración de Ecosistemas y Especies Prioritarias,"$110,757,305.00 ",1.2897,"$85,878,347.68 "
2023,16,Medio Ambiente y Recursos Naturales,Proteccion Forestal,"$1,416,184,853.00 ",1.2897,"$1,098,073,081.00 "
2023,16,Medio Ambiente y Recursos Naturales,Regulacion Ambiental,"$79,833,666.00 ",1.2897,"$61,900,958.36 "
2023,18,Energia,Actividades de apoyo administrativo,"$7,113,183.00 ",1.2897,"$5,515,377.99 "
2023,18,Energia,Conduccion de la politica energetica,"$51,994,513.00 ",1.2897,"$40,315,199.66 "
2023,18,Energia,Coordinacion de la politica energetica en electricidad ,"$4,391,726.00 ",1.2897,"$3,405,230.67 "
2023,18,Energia,Coordinacion de la politica energetica en hidrocarburos,"$8,017,530.00 ",1.2897,"$6,216,585.25 "
2023,18,Energia,"Gestion, promocion, supervision y evaluacion del aprovechamiento sustentable de la energia ","$64,322,374.00 ",1.2897,"$49,873,904.01 "
2023,18,Energia,Recursos destinados a la transicion e investigacion en materia energetica,"$273,016,786.00 ",1.2897,"$211,690,149.70 "
2023,20,Bienestar,Sembrando Vida,"$34,264,979,602.00 ",1.2897,"$26,568,178,338.00 "
2023,21,Turismo,Servicios Turísticos en APIs concesionadas,"$43,578,353.00 ",1.2897,"$33,789,527.02 "
2023,21,Turismo,Escalas náuticas en Mar de Cortés y otras unidades de negocios,"$211,259,910.00 ",1.2897,"$163,805,466.40 "
2023,21,Turismo,Desarrollo y promoción de proyectos turísticos sustentables,"$700,000.00 ",1.2897,"$542,761.88 "
2023,21,Turismo,Mantenimiento de infraestructura,"$70,000,000.00 ",1.2897,"$54,276,188.26 "
2023,21,Turismo,Proyectos de Transporte Masivo de Pasajeros,"$98,549,175,369.00 ",1.2897,"$76,412,479,933.00 "
2023,23,Provisiones Salariales y Economicas,Fondo de Desastres Naturales (FONDEN),"$17,156,826,205.00 ",1.2897,"$13,302,958,987.00 "
2023,23,Provisiones Salariales y Economicas,Fondo de Prevencion de Desastres Naturales (FOPREDEN),"$217,809,647.00 ",1.2897,"$168,883,962.90 "
2023,36,Seguridad y Proteccion Ciudadana,Coordinación del Sistema Nacional de Protección Civil,"$154,033,466.00 ",1.2897,"$119,433,562.80 "
